location,symbol,unit,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
"Detroit - City, MI",I,Btu/ft2/day,469,746,1120,1437,1711,1884,1850,1585,1316,870,507,409,1159
"Detroit - City, MI",PA,lb/in2,,,,,,,,,,,,,14.36
"Flint, MI",TAN,°F,16.7,18.2,25.7,36.6,46.6,56.9,60,59.1,50.8,40.8,32,22.3,38.8
"Flint, MI",TAX,°F,29.8,33,43.4,57.1,68.1,77.9,81.1,79.4,72.4,59.7,46.5,34.4,56.9
"Flint, MI",V,mi/hr,10.3,10.3,10.3,10.5,9.2,7.6,7.4,6.9,7.6,8.9,9.6,9.6,8.9
"Flint, MI",I,Btu/ft2/day,440,713,1104,1474,1747,1947,1921,1635,1309,839,491,394,1168
"Flint, MI",PA,lb/in2,,,,,,,,,,,,,14.29
"Grand Rapids, MI",TAN,°F,18.2,19.7,26.7,37.5,47.8,58,61.7,60.8,52.4,41.8,32.6,23.7,40.1
"Grand Rapids, MI",TAX,°F,29.8,32.8,43.4,57.2,68.2,77.9,81.1,79.4,72.2,59.5,46.1,34.4,56.8
"Grand Rapids, MI",V,mi/hr,11,10.5,10.5,11,9.8,8.3,8.1,7.4,7.8,9.4,10.1,10.3,9.6
"Grand Rapids, MI",I,Btu/ft2/day,405,684,1109,1461,1746,1943,1913,1635,1306,819,487,367,1156
"Grand Rapids, MI",PA,lb/in2,,,,,,,,,,,,,14.27
"Houghton Lake, MI",TAN,°F,12.3,12.3,20.3,32.1,42.9,52.2,55.7,54.2,46.6,37.7,29,19.2,34.5
"Houghton Lake, MI",TAX,°F,26.1,29.1,39.7,53.5,65.5,75.5,78.6,76.9,69.1,55.8,42.3,31,53.6
"Houghton Lake, MI",V,mi/hr,8.7,8.3,8.3,9.2,8.3,6.9,6.7,6.5,6.9,8.1,8.7,8.7,7.8
"Houghton Lake, MI",I,Btu/ft2/day,401,646,1089,1462,1708,1894,1874,1593,1219,763,439,363,1121
"Houghton Lake, MI",PA,lb/in2,,,,,,,,,,,,,14.1
"Lansing, MI",TAN,°F,16.5,17.9,25.4,36.2,46.2,56.4,59.5,58.7,50.3,40.4,31.7,22.1,38.4
"Lansing, MI",TAX,°F,29.8,32.9,43.6,57.3,67.9,77.7,81,79.2,72.3,59.6,46.3,34.3,56.8
"Lansing, MI",V,mi/hr,10.3,10.1,9.8,10.1,8.9,7.6,7.4,6.7,7.2,8.7,9.6,10.1,8.9
"Lansing, MI",I,Btu/ft2/day,459,729,1109,1441,1707,1905,1863,1595,1303,833,494,398,1153
"Lansing, MI",PA,lb/in2,,,,,,,,,,,,,14.26
"Muskegon, MI",TAN,°F,20.2,20.8,26.7,37,46.7,56.7,61.3,60.8,52.4,42.6,33.7,25.2,40.3
"Muskegon, MI",TAX,°F,30.6,33.1,42.5,55.2,65.9,75.3,78.9,77.9,70.9,58.5,45.9,35.2,55.8
"Muskegon, MI",V,mi/hr,11.2,10.7,10.3,10.7,9.4,8.3,8.1,7.8,8.3,9.8,11,11,9.6
"Muskegon, MI",I,Btu/ft2/day,391,659,1102,1479,1775,1986,1962,1671,1290,809,451,339,1160
"Muskegon, MI",PA,lb/in2,,,,,,,,,,,,,14.36
"Sault Ste Marie, MI",TAN,°F,8.1,9.5,18.2,30.9,40.9,49.8,54.8,55,48.4,38.3,28.5,17,33.3
"Sault Ste Marie, MI",TAX,°F,22.2,25.2,34.2,47.8,61.1,70.8,74.2,73.8,65.8,52.4,39.6,29,49.7
"Sault Ste Marie, MI",V,mi/hr,7.8,7.8,8.1,8.7,8.5,7.2,6.9,6.7,7.2,7.8,8.5,8.1,7.8
"Sault Ste Marie, MI",I,Btu/ft2/day,357,617,1042,1473,1794,1962,1837,1611,1128,677,378,291,1097
"Sault Ste Marie, MI",PA,lb/in2,,,,,,,,,,,,,14.32
"Traverse City, MI",TAN,°F,17,16.5,23.3,33.3,43.2,54.2,58.7,58.2,51,40.9,31.7,22.8,37.6
"Traverse City, MI",TAX,°F,28.3,30.6,40.3,53.7,65.6,75.9,79.4,78,70.4,57.5,44.3,33.4,54.8
"Traverse City, MI",V,mi/hr,8.3,8.3,7.6,8.1,6.9,6.3,6.5,6,6.5,7.6,8.1,7.8,7.4
"Traverse City, MI",I,Btu/ft2/day,403,648,1101,1462,1756,1921,1874,1619,1210,725,405,339,1122
"Traverse City, MI",PA,lb/in2,,,,,,,,,,,,,14.37
"Duluth, MN",TAN,°F,2.6,7.1,18.2,30.7,41.4,50.6,55.9,55.4,47.2,35.7,23,9.4,31.4
"Duluth, MN",TAX,°F,18.5,23.9,34.3,48,61,69.8,74.7,73.6,64.7,51,35.6,23,48.2
"Duluth, MN",V,mi/hr,10.5,10.3,10.5,11,10.7,9.4,8.7,8.7,9.6,10.5,10.7,10.3,10.1
"Duluth, MN",I,Btu/ft2/day,461,707,1083,1499,1770,1844,1899,1627,1179,724,441,365,1133
"Duluth, MN",PA,lb/in2,,,,,,,,,,,,,13.95
"International Falls, MN",TAN,°F,-4.5,0.3,13.7,28.4,39.8,50,53.4,51.8,43.2,32.5,19.4,3.7,27.6
"International Falls, MN",TAX,°F,15,21.9,34.5,50.4,63.3,72.4,76.2,75,65.4,50.6,33.8,20,48.2
"International Falls, MN",V,mi/hr,7.8,7.8,8.5,8.5,8.7,7.6,6.9,6.7,7.6,8.3,8.3,7.6,7.8
"International Falls, MN",I,Btu/ft2/day,402,667,1041,1501,1708,1788,1807,1574,1102,657,375,300,1077
"International Falls, MN",PA,lb/in2,,,,,,,,,,,,,14.08
"Minneapolis-St Paul, MN",TAN,°F,8.3,13.6,24.6,37.9,49.6,59.7,64.5,62.5,53.3,40.9,27.5,14.4,38.1
"Minneapolis-St Paul, MN",TAX,°F,22.8,28.5,40.6,56.7,68.3,77.8,81.9,79.8,71.5,57.8,41,27.7,54.5
"Minneapolis-St Paul, MN",V,mi/hr,9.4,9.4,9.8,10.7,10.3,9.2,8.5,8.3,9.2,9.8,9.6,9.2,9.4
"Minneapolis-St Paul, MN",I,Btu/ft2/day,490,752,1116,1476,1712,1856,1930,1655,1265,814,501,389,1163
"Minneapolis-St Paul, MN",PA,lb/in2,,,,,,,,,,,,,14.26
"Rochester_MN, MN",TAN,°F,7.3,12.2,23.6,36,47.4,57.5,60.7,58.8,50.1,38.6,26.2,13.3,36
"Rochester_MN, MN",TAX,°F,21.8,26.8,39.1,55.3,67,76.4,79,77,70.3,57.4,40.7,27.1,53.2
"Rochester_MN, MN",V,mi/hr,13,13,13,13.4,12.8,10.7,9.6,8.9,10.3,11.6,12.8,13,11.9
"Rochester_MN, MN",I,Btu/ft2/day,474,708,1106,1489,1709,1891,1955,1664,1286,848,513,384,1169
"Rochester_MN, MN",PA,lb/in2,,,,,,,,,,,,,14.01
"St Cloud, MN",TAN,°F,2.8,7.8,20.1,33.1,44.5,54.8,58.6,56.5,47.6,35.9,23.1,9.6,32.9
"St Cloud, MN",TAX,°F,20.4,26.3,38.2,55,67.6,76.4,80.7,78.8,70.3,56.2,38.9,25.4,52.9
"St Cloud, MN",V,mi/hr,8.3,8.3,8.7,9.4,9.2,7.8,6.7,6.5,7.4,8.5,8.5,8.3,8.1
"St Cloud, MN",I,Btu/ft2/day,453,700,1094,1527,1754,1906,1967,1669,1259,802,481,367,1165
"St Cloud, MN",PA,lb/in2,,,,,,,,,,,,,14.16
"Jackson, MS",TAN,°F,37,39.3,45.9,53.3,62.5,69.2,72.1,71.4,65.5,53.9,43.9,37.9,54.3
"Jackson, MS",TAX,°F,56.5,60.8,68.1,75.7,83,89,91.1,91.2,86.5,77.1,66.3,58.1,75.3
"Jackson, MS",V,mi/hr,6.7,6.9,7.2,6.7,5.6,4.7,4,4,5.1,5.1,5.4,6.3,5.6
"Jackson, MS",I,Btu/ft2/day,783,1039,1369,1762,1929,2025,1969,1849,1576,1262,922,726,1434
"Jackson, MS",PA,lb/in2,,,,,,,,,,,,,14.53
"Meridian, MS",TAN,°F,35.8,38.1,44.5,51.5,60.8,67.8,70.8,70.2,64.2,52.5,42.5,36.9,53
"Meridian, MS",TAX,°F,57.1,61.4,68.8,76.2,83.4,88.8,91.4,91.1,86.5,77.3,66.9,58.5,75.6
"Meridian, MS",V,mi/hr,6.9,7.2,7.4,6.9,5.8,4.9,4.5,4.3,5.1,5.1,5.6,6.3,5.8
"Meridian, MS",I,Btu/ft2/day,783,1044,1380,1726,1918,1989,1945,1823,1544,1252,924,727,1421
"Meridian, MS",PA,lb/in2,,,,,,,,,,,,,14.53
"Tupelo, MS",TAN,°F,33.2,35.9,43,51,60.2,68.1,71.5,70.6,63.4,51.6,42,34.8,52.1
"Tupelo, MS",TAX,°F,51.3,55.8,64.3,73,80.6,87.4,90.1,90.1,84.2,74.2,62.9,52.8,72.2
"Tupelo, MS",V,mi/hr,7.6,7.8,8.1,7.6,6.3,5.4,4.7,4.7,5.6,5.6,6,6.9,6.3
"Tupelo, MS",I,Btu/ft2/day,730,964,1309,1682,1912,2026,1990,1849,1536,1201,832,648,1390
"Tupelo, MS",PA,lb/in2,,,,,,,,,,,,,14.5
"Columbia_MO, MO",TAN,°F,21.4,26,34.2,44.8,54.6,63.3,67.3,65.9,56.7,46,35.4,25.3,45.1
"Columbia_MO, MO",TAX,°F,37.6,43.9,54.5,65.4,74,82.2,86.6,86.5,77.8,66.7,53.2,41.4,64.2
"Columbia_MO, MO",V,mi/hr,10.3,10.5,11.2,11.2,9.2,8.1,7.4,7.2,7.8,9.2,10.1,10.1,9.4
"Columbia_MO, MO",I,Btu/ft2/day,629,886,1251,1575,1808,2033,2027,1823,1490,1070,690,556,1320
"Columbia_MO, MO",PA,lb/in2,,,,,,,,,,,,,14.23
"Kansas City, MO",TAN,°F,20.4,25.2,33.9,44.9,55.1,64.3,68.8,67.5,57.6,46.8,34.9,24.5,45.3
"Kansas City, MO",TAX,°F,37.1,43.4,54.2,64.8,74.2,82.7,87.2,86.8,78.1,66.5,52.5,40.8,64
"Kansas City, MO",V,mi/hr,10.7,10.7,11.9,12.3,10.3,9.6,8.7,8.5,9.2,10.3,10.7,10.5,10.3
"Kansas City, MO",I,Btu/ft2/day,641,929,1273,1566,1815,1999,2028,1823,1488,1074,701,566,1325
"Kansas City, MO",PA,lb/in2,,,,,,,,,,,,,14.18
"Springfield_MO, MO",TAN,°F,24.3,28.5,35.8,45.6,55.5,63.9,68.3,67.3,58.2,47.3,36.6,27.1,46.5
"Springfield_MO, MO",TAX,°F,42.3,48.2,56.8,66.6,74.5,82.9,87.4,87.9,79.2,68.4,55.7,44.8,66.2
"Springfield_MO, MO",V,mi/hr,9.8,10.1,11,10.7,8.9,8.1,7.2,7.2,7.8,8.9,9.8,9.8,9.2
"Springfield_MO, MO",I,Btu/ft2/day,677,929,1242,1593,1783,1996,2030,1868,1494,1129,742,601,1340
"Springfield_MO, MO",PA,lb/in2,,,,,,,,,,,,,14.04
"St Louis - Lambert, MO",TAN,°F,24.6,28.7,37.2,47.9,58.2,67.2,71.3,70,60.9,49.6,38.5,28.5,48.5
"St Louis - Lambert, MO",TAX,°F,39.2,45.1,55.5,67,75.7,84.3,88.1,87.3,79.4,68.2,54.7,42.8,65.6
"St Louis - Lambert, MO",V,mi/hr,9.8,10.1,10.5,10.5,9.2,8.1,7.6,7.2,7.4,8.5,9.4,9.6,8.9
"St Louis - Lambert, MO",I,Btu/ft2/day,598,882,1217,1557,1765,2007,1978,1802,1471,1076,703,537,1299
"St Louis - Lambert, MO",PA,lb/in2,,,,,,,,,,,,,14.39
"St Louis - Spirit, MO",TAN,°F,22.6,26.7,34.6,44.9,55,63.9,67.9,66,56.3,45.4,35.4,26.2,45.4
"St Louis - Spirit, MO",TAX,°F,39.6,45.5,56.3,67.5,75.8,84.1,88,87.2,79.4,68.6,55.3,43.3,65.9
"St Louis - Spirit, MO",V,mi/hr,8.1,8.1,8.5,8.7,6.7,5.8,5.4,4.9,4.9,6.3,7.4,7.4,6.9
"St Louis - Spirit, MO",I,Btu/ft2/day,604,888,1226,1570,1763,2009,1992,1811,1467,1073,694,545,1303
"St Louis - Spirit, MO",PA,lb/in2,,,,,,,,,,,,,14.45
"Billings, MT",TAN,°F,18,21.8,27.3,35.2,44.2,52.5,59.6,58,48.8,37.7,27.3,19.6,37.5
"Billings, MT",TAX,°F,34.9,40.1,48,56.1,66.4,75.1,85.7,84.8,73,58.1,44.8,35.3,58.5
"Billings, MT",V,mi/hr,12.8,11.6,10.7,10.5,9.8,9.4,8.9,8.9,9.4,10.5,11.9,12.5,10.5
"Billings, MT",I,Btu/ft2/day,478,784,1148,1514,1883,2048,2221,1912,1424,903,544,398,1271
"Billings, MT",PA,lb/in2,,,,,,,,,,,,,12.92
"Glasgow, MT",TAN,°F,3.8,9.8,20.6,32.3,42.2,51.5,57.4,56.3,45.6,32.9,19.9,8.3,31.7
"Glasgow, MT",TAX,°F,21.7,28.4,41.4,56.4,66.5,74.7,83.9,83.7,72.1,55.9,39.4,26.3,54.2
"Glasgow, MT",V,mi/hr,9.4,9.4,11,12.1,12.1,11,10.1,10.7,10.3,10.3,9.6,9.4,10.5
"Glasgow, MT",I,Btu/ft2/day,366,628,1068,1545,1889,2051,2180,1872,1340,834,444,311,1211
"Glasgow, MT",PA,lb/in2,,,,,,,,,,,,,13.53
"Great Falls, MT",TAN,°F,15.9,18.8,23.7,31.6,39.9,47,53,51.7,44,34.2,25.2,17.7,33.5
"Great Falls, MT",TAX,°F,34.1,38.1,45.2,53.9,63.7,71.1,82.7,81.5,70.5,56.5,42.7,35,56.2
"Great Falls, MT",V,mi/hr,13.4,11.9,11.9,11.2,10.5,9.8,8.9,8.9,10.1,11.9,13.4,13.6,11.4
"Great Falls, MT",I,Btu/ft2/day,428,706,1106,1450,1806,2001,2163,1857,1360,840,465,358,1212
"Great Falls, MT",PA,lb/in2,,,,,,,,,,,,,12.88
"Harve City, MT",TAN,°F,6.4,12,20.7,31.4,40.8,48.9,54.1,52.5,42.6,31.1,20.4,9.9,30.9
"Harve City, MT",TAX,°F,26.6,33.1,43.8,56.9,66.4,74,84.3,83.5,72,57.3,41.6,30.6,55.8
"Harve City, MT",V,mi/hr,9.6,9.2,9.8,10.5,10.5,9.6,8.7,8.7,8.9,9.4,10.1,9.8,9.6
"Harve City, MT",I,Btu/ft2/day,371,632,1091,1522,1828,2035,2166,1862,1333,826,435,318,1202
"Harve City, MT",PA,lb/in2,,,,,,,,,,,,,13.39
"Helena, MT",TAN,°F,13.5,18.4,24.9,32.8,41.8,49,55.3,53,44.4,33.5,23.1,14.5,33.7
"Helena, MT",TAX,°F,31.2,37.6,46.8,55.6,65.6,73.3,84.6,83.3,72.2,57,41.8,31.6,56.7
"Helena, MT",V,mi/hr,5.6,6,7.4,8.3,8.1,7.8,7.2,6.5,6.3,6.5,6,5.6,6.7
"Helena, MT",I,Btu/ft2/day,456,767,1185,1513,1832,2048,2214,1898,1420,889,503,390,1260
"Helena, MT",PA,lb/in2,,,,,,,,,,,,,12.79
"Kalispell, MT",TAN,°F,17.2,20,25.5,31.9,39.4,45.2,49.1,47.2,39.6,30.5,24.8,18.3,32.4
"Kalispell, MT",TAX,°F,30.2,35.6,44.4,54.4,64,70,80.7,80.3,69.5,53.9,39.1,30,54.4
"Kalispell, MT",V,mi/hr,4,4.3,5.8,6.7,6.5,5.8,5.4,5.1,4.7,4.5,4,3.8,5.1
"Kalispell, MT",I,Btu/ft2/day,322,605,1031,1440,1761,1895,2166,1812,1300,742,377,259,1142
"Kalispell, MT",PA,lb/in2,,,,,,,,,,,,,13.2
"Missoula, MT",TAN,°F,19,22.1,27.8,33.2,40.5,47,52.7,50.9,43,33.4,25.3,19,34.5
"Missoula, MT",TAX,°F,31.5,37.6,48,55.9,65.6,72.4,84.7,83.5,72.2,56,39.9,30.8,56.5
"Missoula, MT",V,mi/hr,3.8,4.3,5.8,6.5,6.3,6.5,6.3,5.8,4.9,4.5,4,4,5.1
"Missoula, MT",I,Btu/ft2/day,387,676,1088,1451,1787,1966,2229,1883,1385,820,428,315,1201
"Missoula, MT",PA,lb/in2,,,,,,,,,,,,,13.1
"Grand Island, NE",TAN,°F,14.9,19.4,28,38.4,50.2,60,65.1,63.2,52.8,40.4,27.6,18.3,39.9
"Grand Island, NE",TAX,°F,34.7,39.7,50.4,61.8,72,81.9,86.5,84.7,77.6,64.3,49.1,37.4,61.7
"Grand Island, NE",V,mi/hr,11,11.4,12.5,13.4,12.1,10.7,9.2,8.9,10.5,11.2,11.2,11,11.2
"Grand Island, NE",I,Btu/ft2/day,637,908,1284,1619,1846,2102,2100,1855,1492,1080,711,554,1349
"Grand Island, NE",PA,lb/in2,,,,,,,,,,,,,13.75
"Lincoln, NE",TAN,°F,14.3,19.3,28.4,39.5,51.1,61.6,66.5,64.2,53.6,41.4,28.4,18.1,40.5
"Lincoln, NE",TAX,°F,34.1,39.8,51.5,63.2,73.5,82.9,87.8,86.1,78.3,65.4,49.7,37.8,62.5
"Lincoln, NE",V,mi/hr,8.9,9.6,11,11.9,10.5,9.6,8.7,8.3,9.2,9.6,9.4,8.9,9.6
"Lincoln, NE",I,Btu/ft2/day,591,872,1205,1555,1782,1994,2017,1784,1465,1030,663,521,1290
"Lincoln, NE",PA,lb/in2,,,,,,,,,,,,,14.08
"Norfolk_NE, NE",TAN,°F,13,18,26.9,38.1,49.2,59.4,64.1,62.2,52,39.7,26.7,16.8,38.8
"Norfolk_NE, NE",TAX,°F,31.9,37.1,48.3,60.8,71.7,80.9,85.5,83.5,76.3,63.2,47.2,34.8,60.1
"Norfolk_NE, NE",V,mi/hr,10.5,11,11.6,12.5,11.2,9.8,8.9,8.7,9.8,10.3,10.5,10.5,10.5
"Norfolk_NE, NE",I,Btu/ft2/day,566,836,1226,1556,1807,2036,2063,1794,1452,1012,647,507,1292
"Norfolk_NE, NE",PA,lb/in2,,,,,,,,,,,,,13.89
"North Platte, NE",TAN,°F,12.7,16.5,24.5,34.2,45.3,55.5,61.7,59.7,48.3,35,22.3,14.1,35.8
"North Platte, NE",TAX,°F,38.7,43,52.1,60.8,71.1,80.7,87.2,85.1,77.3,63.7,49.9,40,62.5
"North Platte, NE",V,mi/hr,8.3,8.9,10.3,11.4,10.3,9.4,8.5,8.1,8.9,8.9,8.7,8.3,9.2
"North Platte, NE",I,Btu/ft2/day,666,938,1324,1642,1899,2170,2191,1905,1546,1097,710,587,1390
"North Platte, NE",PA,lb/in2,,,,,,,,,,,,,13.29
"Omaha, NE",TAN,°F,14.2,19.5,28.8,40.7,52,62.1,67,64.8,54.6,42.7,29.8,18.9,41.3
"Omaha, NE",TAX,°F,31.7,37.7,49.9,62.7,73,82.3,86.2,84.4,77.2,64.5,48.4,35.9,61.2
"Omaha, NE",V,mi/hr,10.1,10.3,11.2,11.9,10.5,9.4,8.3,8.1,8.9,9.6,10.1,9.8,9.8
"Omaha, NE",I,Btu/ft2/day,582,852,1204,1512,1776,1992,2001,1749,1447,1007,646,506,1273
"Omaha, NE",PA,lb/in2,,,,,,,,,,,,,14.18
"Scottsbluff, NE",TAN,°F,14.8,17.7,24.6,32.6,43.5,52.9,59.1,57.1,46.2,33.7,22.5,14.9,35
"Scottsbluff, NE",TAX,°F,39.8,44,52.2,60,70.8,80.8,88.7,86.5,77.2,63,49.2,40.1,62.7
"Scottsbluff, NE",V,mi/hr,9.6,10.3,11,11.4,11,9.8,8.5,8.3,8.3,9.2,9.4,9.4,9.6
"Scottsbluff, NE",I,Btu/ft2/day,672,923,1295,1647,1955,2180,2261,1963,1571,1089,715,559,1403
"Scottsbluff, NE",PA,lb/in2,,,,,,,,,,,,,12.75
"Valentine, NE",TAN,°F,11.5,15.7,23.8,33.8,44.6,54.7,60.8,59.2,48.3,34.8,22.2,13.5,35.2
"Valentine, NE",TAX,°F,35.5,39.5,48.6,58.8,69.9,79.4,87.3,86.1,76.7,62,47.4,37.2,60.7
"Valentine, NE",V,mi/hr,9.4,9.8,10.5,11.4,11.4,10.3,9.2,9.6,10.3,10.1,9.8,9.6,10.1
"Valentine, NE",I,Btu/ft2/day,601,853,1215,1539,1862,2066,2187,1883,1496,1011,643,514,1322
"Valentine, NE",PA,lb/in2,,,,,,,,,,,,,13.39
"Ely, NV",TAN,°F,13.1,16.9,22.9,27.7,34.4,42,49.2,48.1,38.7,28.9,19.8,12.6,29.5
"Ely, NV",TAX,°F,38.9,41.6,49.8,56,67,77.7,86.9,84.6,75.6,62.1,48.1,38.8,60.6
"Ely, NV",V,mi/hr,9.2,8.9,9.6,9.8,9.4,9.6,9.4,9.6,9.2,9.2,8.7,8.9,9.4
"Ely, NV",I,Btu/ft2/day,724,1006,1454,1843,2146,2418,2371,2173,1800,1303,875,669,1565
"Ely, NV",PA,lb/in2,,,,,,,,,,,,,11.72
"Las Vegas, NV",TAN,°F,39.4,43.2,49.2,55.6,65.8,74.3,81.2,79.8,71.4,58.7,46.3,38.7,58.6
"Las Vegas, NV",TAX,°F,57.6,61.9,69.8,77.1,88.2,97.7,103.7,101.8,94,80.2,66,56.3,79.5
"Las Vegas, NV",V,mi/hr,6.5,7.2,8.7,10.3,10.1,10.1,8.9,8.5,7.8,7.2,6.5,6.5,8.3
"Las Vegas, NV",I,Btu/ft2/day,965,1244,1732,2164,2466,2628,2439,2202,1938,1479,1093,885,1769
"Las Vegas, NV",PA,lb/in2,,,,,,,,,,,,,13.6
"Lovelock, NV",TAN,°F,20.8,25.3,29.2,35.2,44.8,51.9,58.3,54.6,45.3,35.2,24.4,19.3,37
"Lovelock, NV",TAX,°F,43.4,50.5,59.3,64.7,75.4,84.8,95.4,92.8,83.9,69.3,53.9,43.4,68.1
"Lovelock, NV",V,mi/hr,4.9,6,7.4,8.3,8.5,8.3,7.6,6.9,6,5.8,5.1,4.7,6.7
"Lovelock, NV",I,Btu/ft2/day,687,992,1414,1822,2189,2471,2533,2252,1833,1274,802,587,1571
"Lovelock, NV",PA,lb/in2,,,,,,,,,,,,,12.76
"Mercury, NV",TAN,°F,35.1,38.2,42.8,48.2,57.9,66.2,73.7,72.4,64,52,41.1,34.2,52.2
"Mercury, NV",TAX,°F,55.2,58.3,65.8,72,82.9,92.2,99,97.3,89.6,76.4,63.3,54.1,75.5
"Mercury, NV",V,mi/hr,8.3,8.5,9.2,10.3,9.8,10.1,9.2,9.2,8.3,8.1,8.1,8.1,8.9
"Mercury, NV",I,Btu/ft2/day,937,1212,1714,2151,2464,2664,2527,2313,1977,1482,1077,860,1781
"Mercury, NV",PA,lb/in2,,,,,,,,,,,,,13.16
"Reno, NV",TAN,°F,25.1,28.6,32.8,37,45.5,52.3,59.2,56.7,48.7,39,30,25.1,40
"Reno, NV",TAX,°F,45.5,50.3,57.7,62.3,72.6,81.9,91.7,89.7,81.8,68.5,54.8,45.2,66.8
"Reno, NV",V,mi/hr,4.7,5.6,6.9,8.3,7.8,7.6,7.2,6.5,5.4,4.7,4.9,5.1,6.3
"Reno, NV",I,Btu/ft2/day,715,992,1471,1889,2232,2473,2512,2249,1854,1310,859,633,1599
"Reno, NV",PA,lb/in2,,,,,,,,,,,,,12.53
"Tonopah, NV",TAN,°F,21.9,25.6,29.9,34.9,44.2,52.3,58.8,56.8,49.1,38.4,27.5,20.2,38.3
"Tonopah, NV",TAX,°F,44.5,48.3,56.5,62.7,73.5,83.5,91.4,89.2,80.6,67.6,53.7,43.8,66.3
"Tonopah, NV",V,mi/hr,8.9,9.6,10.7,11.6,10.7,10.3,9.2,9.2,8.9,9.4,9.2,8.7,9.6
"Tonopah, NV",I,Btu/ft2/day,828,1128,1629,2056,2344,2586,2507,2304,1922,1430,997,779,1709
"Tonopah, NV",PA,lb/in2,,,,,,,,,,,,,12.08
"Winnemucca, NV",TAN,°F,20.5,24.4,27.5,31.4,39.4,46.3,53.5,49.9,40.7,30.5,23.1,18.8,33.8
"Winnemucca, NV",TAX,°F,41.4,47,55.3,60.4,71.3,81.5,92.8,90.4,81.1,66.1,51.3,41.1,65
"Winnemucca, NV",V,mi/hr,7.2,7.6,8.1,8.3,8.3,8.3,7.6,7.4,6.9,6.7,6.7,7.2,7.6
"Winnemucca, NV",I,Btu/ft2/day,652,964,1380,1762,2147,2437,2523,2232,1795,1248,760,555,1538
"Winnemucca, NV",PA,lb/in2,,,,,,,,,,,,,12.57
"Concord, NH",TAN,°F,12.3,14.6,23.2,33.2,43.2,53.8,58.5,57.1,48.4,36.8,29,18.8,35.7
"Concord, NH",TAX,°F,30.5,34,43,57,68.1,77,81.4,80.6,72.3,59.8,47.8,36.3,57.3
"Concord, NH",V,mi/hr,6.7,7.4,7.4,7.2,6.3,5.6,5.1,4.7,4.9,5.6,5.6,6.5,6
"Concord, NH",I,Btu/ft2/day,535,803,1097,1469,1684,1801,1844,1644,1267,869,556,446,1168
"Concord, NH",PA,lb/in2,,,,,,,,,,,,,14.5
"Atlantic City, NJ",TAN,°F,25.5,25.9,32.7,41.9,50.5,61,66.5,65,57.5,45.6,37.1,28.7,44.8
"Atlantic City, NJ",TAX,°F,42.4,44,51.4,62,71,79.9,84.8,83.4,76.9,66.2,55.9,46.1,63.7
"Atlantic City, NJ",V,mi/hr,9.8,10.1,10.5,10.3,8.7,7.8,7.4,6.7,7.4,7.6,8.5,9.4,8.7
"Atlantic City, NJ",I,Btu/ft2/day,646,924,1224,1581,1800,1935,1927,1733,1394,1048,720,578,1292
"Atlantic City, NJ",PA,lb/in2,,,,,,,,,,,,,14.66
"Newark, NJ",TAN,°F,26.3,27.7,34.8,44.8,54.1,64.3,69.5,68.6,60.9,49,40.3,31,47.6
"Newark, NJ",TAX,°F,39.6,42.1,50.5,62,72,81.3,85.7,84.2,76.7,65.2,54.6,43.8,63.1
"Newark, NJ",V,mi/hr,11,11.2,11.2,10.5,9.6,9.2,8.9,8.5,8.9,9.4,9.8,10.7,9.8
"Newark, NJ",I,Btu/ft2/day,602,887,1195,1502,1748,1854,1838,1629,1324,975,638,521,1226
"Newark, NJ",PA,lb/in2,,,,,,,,,,,,,14.69
"Albuquerque, NM",TAN,°F,27.6,31.4,36.4,43.7,53.8,62.3,67.1,65.4,58.6,46.7,35,27.5,46.3
"Albuquerque, NM",TAX,°F,48.1,53.7,61.2,69.4,79.8,88.8,90.5,87.8,81.4,69.9,56.6,47.1,69.5
"Albuquerque, NM",V,mi/hr,7.2,7.8,8.7,9.8,9.4,8.9,7.8,7.4,7.4,7.4,7.2,6.7,8.1
"Albuquerque, NM",I,Btu/ft2/day,1003,1270,1699,2126,2356,2479,2312,2082,1846,1469,1114,904,1722
"Albuquerque, NM",PA,lb/in2,,,,,,,,,,,,,12.13
"Gallup, NM",TAN,°F,14.9,19.5,22.7,28.4,37.5,45.1,54.3,53.3,43.8,30.9,19.9,13.8,32
"Gallup, NM",TAX,°F,44.1,48.7,56.4,64,74.3,83.9,87.5,84.3,78.5,67,54.2,44,65.6
"Gallup, NM",V,mi/hr,5.4,6.5,7.8,9.4,8.7,8.1,6.7,5.8,5.8,6,5.6,5.1,6.7
"Gallup, NM",I,Btu/ft2/day,930,1194,1654,2095,2350,2507,2187,1943,1806,1466,1072,825,1669
"Gallup, NM",PA,lb/in2,,,,,,,,,,,,,11.63
"Roswell, NM",TAN,°F,27.8,32.5,38.5,46.1,56.4,64.5,68.5,67,59.5,47.9,35.2,27.7,47.6
"Roswell, NM",TAX,°F,55.6,61.3,68.4,77,86.1,93.7,93.9,91.9,86,76,64,55.3,75.8
"Roswell, NM",V,mi/hr,7.6,8.7,9.6,10.5,10.1,10.1,8.5,7.6,7.8,7.8,7.6,7.4,8.7
"Roswell, NM",I,Btu/ft2/day,1013,1323,1744,2125,2301,2434,2302,2085,1822,1452,1127,939,1722
"Roswell, NM",PA,lb/in2,,,,,,,,,,,,,12.88
